attack_code,attack_name,attack_category,defense_code,defense_name,defense_category,explicit_match,reference_score_0_5,final_score_0_10,counter_gain_0_10,fail_loss_0_10,matchup_score,reason,source,confidence,remark
A01,直拳,拳法,D01,十字格挡,block,1,4.0,8.0,1.0,4.0,80.0,正面封挡直线快攻,表2_攻防克制表,高,
A01,直拳,拳法,D02,单手拍挡,block,1,5.0,10.0,3.0,6.0,100.0,改变攻击轨迹，防守效率极高,表2_攻防克制表,高,
A01,直拳,拳法,D03,肘挡,block,0,2.0,4.0,2.0,5.0,40.0,骨架硬抗，略显笨重,物理推演,中,
A01,直拳,拳法,D04,下压格挡,block,0,0.0,0.0,2.0,7.0,0.0,高位攻击，下压格挡无效,物理推演,中,
A01,直拳,拳法,D05,钳制格挡,block,0,2.0,4.0,8.0,9.0,40.0,可尝试抓取，但风险极高,物理推演,中,
A01,直拳,拳法,D06,左右侧闪,evade,1,5.0,10.0,6.0,9.0,100.0,完美规避直线攻击并让出身位,表2_攻防克制表,高,
A01,直拳,拳法,D07,下潜闪避,evade,0,3.0,6.0,5.0,8.5,60.0,可规避高位直拳,物理推演,中,
A01,直拳,拳法,D08,后跳/撤步,evade,0,3.0,6.0,2.0,5.0,60.0,安全拉开距离，但丧失反击机会,表2_攻防克制表,中,
A01,直拳,拳法,D09,转身闪避,evade,0,1.0,2.0,4.0,8.0,20.0,应对直拳过于多余，易送后背,物理推演,中,
A01,直拳,拳法,D10,滑步环绕,evade,0,4.0,8.0,9.0,7.0,80.0,侧向绕行效果极佳,表2_攻防克制表,中,
A01,直拳,拳法,D11,护头防御,stance,0,3.0,6.0,0.0,2.0,60.0,静态防御，容错率高,表2_攻防克制表,中,
A01,直拳,拳法,D12,沉身防御,stance,0,2.0,4.0,1.0,3.0,40.0,部分规避高位打击,物理推演,中,
A01,直拳,拳法,D13,侧身防御,stance,0,4.0,8.0,3.0,4.0,80.0,减少受击面积，对直拳有效,物理推演,中,
A01,直拳,拳法,D14,重心补偿,balance,0,1.0,2.0,0.0,8.0,20.0,直拳冲击力小，无需重心补偿,物理推演,中,
A01,直拳,拳法,D15,卸力缓冲,balance,0,3.0,6.0,2.0,5.0,60.0,顺势后移减伤,物理推演,中,
A01,直拳,拳法,D16,步点调整,balance,0,2.0,4.0,5.0,6.0,40.0,小幅微调距离,物理推演,中,
A01,直拳,拳法,D17,受控倒地,ground,0,0.0,0.0,0.0,10.0,0.0,无意义动作，直接送分,物理推演,高,
A01,直拳,拳法,D18,快速起身,ground,0,0.0,0.0,2.0,8.0,0.0,非倒地状态不可用,物理推演,高,
A01,直拳,拳法,D19,倒地防御,ground,0,0.0,0.0,0.0,9.0,0.0,非倒地状态不可用,物理推演,高,
A01,直拳,拳法,D20,闪→挡→反,composite,0,5.0,10.0,7.0,8.0,100.0,高端复合防守，完美克制,表2_攻防克制表,中,
A01,直拳,拳法,D21,潜→闪→踢,composite,0,4.0,8.0,8.0,9.0,80.0,复合反击，收益高,表2_攻防克制表,中,
A01,直拳,拳法,D22,挡→撤→绕,composite,0,3.0,6.0,6.0,6.0,60.0,稳妥的退防体系,表2_攻防克制表,中,
A02,勾拳,拳法,D01,十字格挡,block,0,3.0,6.0,1.0,4.0,60.0,可格挡但侧面依然有空挡,物理推演,中,
A02,勾拳,拳法,D02,单手拍挡,block,0,2.0,4.0,3.0,6.0,40.0,弧线攻击较难拍挡,物理推演,中,
A02,勾拳,拳法,D03,肘挡,block,1,5.0,10.0,2.0,5.0,100.0,护头胸侧面，完美防勾拳,表2_攻防克制表,高,
A02,勾拳,拳法,D04,下压格挡,block,0,0.0,0.0,2.0,7.0,0.0,高位/中位攻击，下压无效,物理推演,中,
A02,勾拳,拳法,D05,钳制格挡,block,0,3.0,6.0,8.0,9.0,60.0,贴身肉搏可尝试锁臂,物理推演,中,
A02,勾拳,拳法,D06,左右侧闪,evade,0,2.0,4.0,6.0,9.0,40.0,横向闪避易撞上勾拳轨迹,物理推演,中,
A02,勾拳,拳法,D07,下潜闪避,evade,1,5.0,10.0,5.0,8.5,100.0,低头下潜完美躲避高位弧线,表2_攻防克制表,高,
A02,勾拳,拳法,D08,后跳/撤步,evade,0,4.0,8.0,2.0,5.0,80.0,脱离近身攻击范围,表2_攻防克制表,中,
A02,勾拳,拳法,D09,转身闪避,evade,0,1.0,2.0,4.0,8.0,20.0,不适用近身缠斗,物理推演,中,
A02,勾拳,拳法,D10,滑步环绕,evade,0,3.0,6.0,9.0,7.0,60.0,近战需极高预判,表2_攻防克制表,中,
A02,勾拳,拳法,D11,护头防御,stance,1,4.0,8.0,0.0,2.0,80.0,有效保护头部两侧,表2_攻防克制表,高,
A02,勾拳,拳法,D12,沉身防御,stance,0,3.0,6.0,1.0,3.0,60.0,降低重心规避高位伤害,物理推演,中,
A02,勾拳,拳法,D13,侧身防御,stance,0,2.0,4.0,3.0,4.0,40.0,侧面可能正是攻击点,物理推演,中,
A02,勾拳,拳法,D14,重心补偿,balance,0,2.0,4.0,0.0,8.0,40.0,对抗近身摇晃,物理推演,中,
A02,勾拳,拳法,D15,卸力缓冲,balance,0,3.0,6.0,2.0,5.0,60.0,顺势卸力有效,物理推演,中,
A02,勾拳,拳法,D16,步点调整,balance,0,3.0,6.0,5.0,6.0,60.0,破坏对手近战距离,物理推演,中,
A02,勾拳,拳法,D17,受控倒地,ground,0,0.0,0.0,0.0,10.0,0.0,不适用,物理推演,高,
A02,勾拳,拳法,D18,快速起身,ground,0,0.0,0.0,2.0,8.0,0.0,不适用,物理推演,高,
A02,勾拳,拳法,D19,倒地防御,ground,0,0.0,0.0,0.0,9.0,0.0,不适用,物理推演,高,
A02,勾拳,拳法,D20,闪→挡→反,composite,0,3.0,6.0,7.0,8.0,60.0,防守成本偏高,物理推演,中,
A02,勾拳,拳法,D21,潜→闪→踢,composite,1,5.0,10.0,8.0,9.0,100.0,复合连招，完美反制高位勾拳,表2_攻防克制表,中,
A02,勾拳,拳法,D22,挡→撤→绕,composite,0,4.0,8.0,6.0,6.0,80.0,脱离近战泥潭,表2_攻防克制表,中,
A03,组合拳,拳法,D01,十字格挡,block,0,4.0,8.0,1.0,4.0,80.0,稳定吃下连击伤害,物理推演,中,
A03,组合拳,拳法,D02,单手拍挡,block,0,1.0,2.0,3.0,6.0,20.0,无法同时拍开多重攻击,物理推演,中,
A03,组合拳,拳法,D03,肘挡,block,0,3.0,6.0,2.0,5.0,60.0,可防近身缠斗,物理推演,中,
A03,组合拳,拳法,D04,下压格挡,block,0,0.0,0.0,2.0,7.0,0.0,高位连击，下压无效,物理推演,中,
A03,组合拳,拳法,D05,钳制格挡,block,1,5.0,10.0,8.0,9.0,100.0,直接锁死对方双臂中断连击,表2_攻防克制表,高,
A03,组合拳,拳法,D06,左右侧闪,evade,0,2.0,4.0,6.0,9.0,40.0,易被后续连段打中,物理推演,中,
A03,组合拳,拳法,D07,下潜闪避,evade,0,3.0,6.0,5.0,8.5,60.0,可规避前两拳，但易被追击,物理推演,中,
A03,组合拳,拳法,D08,后跳/撤步,evade,1,5.0,10.0,2.0,5.0,100.0,拉开距离，让对方打空力竭,表2_攻防克制表,高,
A03,组合拳,拳法,D09,转身闪避,evade,0,0.0,0.0,4.0,8.0,0.0,转身等于把背部交给连击,物理推演,中,
A03,组合拳,拳法,D10,滑步环绕,evade,0,4.0,8.0,9.0,7.0,80.0,一旦绕开，对方硬直极大,表2_攻防克制表,中,
A03,组合拳,拳法,D11,护头防御,stance,0,5.0,10.0,0.0,2.0,100.0,被动防御，最安逸的选择,物理推演,中,
A03,组合拳,拳法,D12,沉身防御,stance,0,2.0,4.0,1.0,3.0,40.0,会被持续压制,物理推演,中,
A03,组合拳,拳法,D13,侧身防御,stance,0,3.0,6.0,3.0,4.0,60.0,减少受击面,物理推演,中,
A03,组合拳,拳法,D14,重心补偿,balance,0,3.0,6.0,0.0,8.0,60.0,需持续抗冲击,物理推演,中,
A03,组合拳,拳法,D15,卸力缓冲,balance,0,4.0,8.0,2.0,5.0,80.0,步步后退化解动能,表2_攻防克制表,中,
A03,组合拳,拳法,D16,步点调整,balance,0,4.0,8.0,5.0,6.0,80.0,碎步后退是经典拳击防守,表2_攻防克制表,中,
A03,组合拳,拳法,D17,受控倒地,ground,0,0.0,0.0,0.0,10.0,0.0,不适用,物理推演,高,
A03,组合拳,拳法,D18,快速起身,ground,0,0.0,0.0,2.0,8.0,0.0,不适用,物理推演,高,
A03,组合拳,拳法,D19,倒地防御,ground,0,0.0,0.0,0.0,9.0,0.0,不适用,物理推演,高,
A03,组合拳,拳法,D20,闪→挡→反,composite,1,4.0,8.0,7.0,8.0,80.0,化解连击并打断,表2_攻防克制表,中,
A03,组合拳,拳法,D21,潜→闪→踢,composite,0,3.0,6.0,8.0,9.0,60.0,动作过慢可能被打断,物理推演,中,
A03,组合拳,拳法,D22,挡→撤→绕,composite,1,5.0,10.0,6.0,6.0,100.0,边退边防是标准答案,表2_攻防克制表,高,
A04,摆拳,拳法,D01,十字格挡,block,1,4.0,8.0,1.0,4.0,80.0,可硬抗横扫，但有轻微位移,表2_攻防克制表,高,
A04,摆拳,拳法,D02,单手拍挡,block,0,1.0,2.0,3.0,6.0,20.0,摆拳力量过大，拍挡易折臂,物理推演,中,
A04,摆拳,拳法,D03,肘挡,block,1,4.0,8.0,2.0,5.0,80.0,有效保护侧头部,表2_攻防克制表,高,
A04,摆拳,拳法,D04,下压格挡,block,0,0.0,0.0,2.0,7.0,0.0,高位横扫，下压无效,物理推演,中,
A04,摆拳,拳法,D05,钳制格挡,block,0,1.0,2.0,8.0,9.0,20.0,大开大合，难以钳制,物理推演,中,
A04,摆拳,拳法,D06,左右侧闪,evade,0,2.0,4.0,6.0,9.0,40.0,容易自己撞到另一侧拳头上,物理推演,中,
A04,摆拳,拳法,D07,下潜闪避,evade,1,5.0,10.0,5.0,8.5,100.0,低头完美规避横扫高位,表2_攻防克制表,高,
A04,摆拳,拳法,D08,后跳/撤步,evade,0,4.0,8.0,2.0,5.0,80.0,拉开距离，避开锋芒,表2_攻防克制表,中,
A04,摆拳,拳法,D09,转身闪避,evade,0,3.0,6.0,4.0,8.0,60.0,顺应横扫轨迹卸力,物理推演,中,
A04,摆拳,拳法,D10,滑步环绕,evade,0,3.0,6.0,9.0,7.0,60.0,需抓准前摇时机,物理推演,中,
A04,摆拳,拳法,D11,护头防御,stance,0,4.0,8.0,0.0,2.0,80.0,龟缩防守有效减伤,物理推演,中,
A04,摆拳,拳法,D12,沉身防御,stance,0,4.0,8.0,1.0,3.0,80.0,极佳的降低重心避险,表2_攻防克制表,中,
A04,摆拳,拳法,D13,侧身防御,stance,0,1.0,2.0,3.0,4.0,20.0,侧身容易被横向扫中背部,物理推演,中,
A04,摆拳,拳法,D14,重心补偿,balance,0,3.0,6.0,0.0,8.0,60.0,硬抗时必须补偿重心,物理推演,中,
A04,摆拳,拳法,D15,卸力缓冲,balance,0,4.0,8.0,2.0,5.0,80.0,顺势移动大幅降低冲击,表2_攻防克制表,中,
A04,摆拳,拳法,D16,步点调整,balance,0,2.0,4.0,5.0,6.0,40.0,小步法难以逃离大覆盖面,物理推演,中,
A04,摆拳,拳法,D17,受控倒地,ground,0,0.0,0.0,0.0,10.0,0.0,不适用,物理推演,高,
A04,摆拳,拳法,D18,快速起身,ground,0,0.0,0.0,2.0,8.0,0.0,不适用,物理推演,高,
A04,摆拳,拳法,D19,倒地防御,ground,0,0.0,0.0,0.0,9.0,0.0,不适用,物理推演,高,
A04,摆拳,拳法,D20,闪→挡→反,composite,0,4.0,8.0,7.0,8.0,80.0,综合应对大范围攻击,表2_攻防克制表,中,
A04,摆拳,拳法,D21,潜→闪→踢,composite,0,4.0,8.0,8.0,9.0,80.0,下潜后立刻反击,表2_攻防克制表,中,
A04,摆拳,拳法,D22,挡→撤→绕,composite,1,5.0,10.0,6.0,6.0,100.0,硬抗后撤步拉开，摆拳最佳克星,表2_攻防克制表,高,
A05,前踢,腿法,D01,十字格挡,block,0,2.0,4.0,1.0,4.0,40.0,强抗腿法易导致机体受损,物理推演,中,
A05,前踢,腿法,D02,单手拍挡,block,1,5.0,10.0,3.0,6.0,100.0,顺势外拨可使对方失去平衡,表2_攻防克制表,高,
A05,前踢,腿法,D03,肘挡,block,0,1.0,2.0,2.0,5.0,20.0,防不住下肢直线冲击,物理推演,中,
A05,前踢,腿法,D04,下压格挡,block,1,4.0,8.0,2.0,7.0,80.0,向下封堵腿部发力点,表2_攻防克制表,中,
A05,前踢,腿法,D05,钳制格挡,block,0,0.0,0.0,8.0,9.0,0.0,无法钳制腿部,物理推演,中,
A05,前踢,腿法,D06,左右侧闪,evade,1,5.0,10.0,6.0,9.0,100.0,直线攻击最怕横向规避,表2_攻防克制表,高,
A05,前踢,腿法,D07,下潜闪避,evade,0,0.0,0.0,5.0,8.5,0.0,下潜正好把头撞到膝盖上,物理推演,高,
A05,前踢,腿法,D08,后跳/撤步,evade,0,3.0,6.0,2.0,5.0,60.0,安全退出距离,物理推演,中,
A05,前踢,腿法,D09,转身闪避,evade,0,2.0,4.0,4.0,8.0,40.0,动作多余,物理推演,中,
A05,前踢,腿法,D10,滑步环绕,evade,0,4.0,8.0,9.0,7.0,80.0,绕侧可直接攻击支撑腿,表2_攻防克制表,中,
A05,前踢,腿法,D11,护头防御,stance,0,0.0,0.0,0.0,2.0,0.0,前踢打腹部，护头无用,物理推演,中,
A05,前踢,腿法,D12,沉身防御,stance,0,1.0,2.0,1.0,3.0,20.0,硬抗中段重击风险大,物理推演,中,
A05,前踢,腿法,D13,侧身防御,stance,1,4.0,8.0,3.0,4.0,80.0,侧身让出正面，大幅降低受击面,表2_攻防克制表,中,
A05,前踢,腿法,D14,重心补偿,balance,0,2.0,4.0,0.0,8.0,40.0,勉强硬抗,物理推演,中,
A05,前踢,腿法,D15,卸力缓冲,balance,0,3.0,6.0,2.0,5.0,60.0,顺势后移减轻冲击,物理推演,中,
A05,前踢,腿法,D16,步点调整,balance,0,3.0,6.0,5.0,6.0,60.0,控制距离,物理推演,中,
A05,前踢,腿法,D17,受控倒地,ground,0,0.0,0.0,0.0,10.0,0.0,不适用,物理推演,高,
A05,前踢,腿法,D18,快速起身,ground,0,0.0,0.0,2.0,8.0,0.0,不适用,物理推演,高,
A05,前踢,腿法,D19,倒地防御,ground,0,0.0,0.0,0.0,9.0,0.0,不适用,物理推演,高,
A05,前踢,腿法,D20,闪→挡→反,composite,1,5.0,10.0,7.0,8.0,100.0,侧闪接反击是破腿法核心,表2_攻防克制表,高,
A05,前踢,腿法,D21,潜→闪→踢,composite,0,0.0,0.0,8.0,9.0,0.0,禁止下潜,物理推演,高,
A05,前踢,腿法,D22,挡→撤→绕,composite,0,3.0,6.0,6.0,6.0,60.0,可用但偏保守,物理推演,中,
A06,侧踢,腿法,D01,十字格挡,block,0,0.0,0.0,1.0,4.0,0.0,绝对破防(K=0.9)，硬抗必摔,物理推演,高,
A06,侧踢,腿法,D02,单手拍挡,block,0,1.0,2.0,3.0,6.0,20.0,冲击力太大，拍不动,物理推演,中,
A06,侧踢,腿法,D03,肘挡,block,0,0.0,0.0,2.0,5.0,0.0,同理，硬抗即死,物理推演,高,
A06,侧踢,腿法,D04,下压格挡,block,0,1.0,2.0,2.0,7.0,20.0,仅能极微量减伤,物理推演,中,
A06,侧踢,腿法,D05,钳制格挡,block,0,0.0,0.0,8.0,9.0,0.0,无法应用,物理推演,中,
A06,侧踢,腿法,D06,左右侧闪,evade,0,2.0,4.0,6.0,9.0,40.0,侧踢覆盖面大，单侧闪不够,物理推演,中,
A06,侧踢,腿法,D07,下潜闪避,evade,0,1.0,2.0,5.0,8.5,20.0,易被打中背部,物理推演,中,
A06,侧踢,腿法,D08,后跳/撤步,evade,1,5.0,10.0,2.0,5.0,100.0,退避三舍，避其锋芒最安全,表2_攻防克制表,高,
A06,侧踢,腿法,D09,转身闪避,evade,1,5.0,10.0,4.0,8.0,100.0,顺应冲击力方向旋转卸力,表2_攻防克制表,高,
A06,侧踢,腿法,D10,滑步环绕,evade,1,4.0,8.0,9.0,7.0,80.0,极限绕侧收益极高，但难度极大,表2_攻防克制表,中,
A06,侧踢,腿法,D11,护头防御,stance,0,0.0,0.0,0.0,2.0,0.0,完全防错位置,物理推演,高,
A06,侧踢,腿法,D12,沉身防御,stance,0,1.0,2.0,1.0,3.0,20.0,硬抗死路一条,物理推演,中,
A06,侧踢,腿法,D13,侧身防御,stance,0,1.0,2.0,3.0,4.0,20.0,侧踢本身就是大面积冲击,物理推演,中,
A06,侧踢,腿法,D14,重心补偿,balance,0,1.0,2.0,0.0,8.0,20.0,补偿能力无法抵消7000N打击力,物理推演,高,
A06,侧踢,腿法,D15,卸力缓冲,balance,1,4.0,8.0,2.0,5.0,80.0,大幅后撤卸力是唯一软抗手段,表2_攻防克制表,中,
A06,侧踢,腿法,D16,步点调整,balance,0,2.0,4.0,5.0,6.0,40.0,小步无法逃逸,物理推演,中,
A06,侧踢,腿法,D17,受控倒地,ground,1,5.0,10.0,0.0,10.0,100.0,如果逃不掉，主动受控倒地免受硬伤,表2_攻防克制表,中,
A06,侧踢,腿法,D18,快速起身,ground,0,0.0,0.0,2.0,8.0,0.0,不适用,物理推演,高,
A06,侧踢,腿法,D19,倒地防御,ground,0,0.0,0.0,0.0,9.0,0.0,不适用,物理推演,高,
A06,侧踢,腿法,D20,闪→挡→反,composite,0,2.0,4.0,7.0,8.0,40.0,防不住侧踢的冲量,物理推演,中,
A06,侧踢,腿法,D21,潜→闪→踢,composite,0,1.0,2.0,8.0,9.0,20.0,危险过大,物理推演,中,
A06,侧踢,腿法,D22,挡→撤→绕,composite,1,4.0,8.0,6.0,6.0,80.0,重点在于撤，不在于挡,表2_攻防克制表,中,
A07,回旋踢,腿法,D01,十字格挡,block,0,1.0,2.0,1.0,4.0,20.0,冲击力极大，硬抗易损,物理推演,高,
A07,回旋踢,腿法,D02,单手拍挡,block,0,0.0,0.0,3.0,6.0,0.0,无效防守,物理推演,高,
A07,回旋踢,腿法,D03,肘挡,block,0,2.0,4.0,2.0,5.0,40.0,保护头部被踢中,物理推演,中,
A07,回旋踢,腿法,D04,下压格挡,block,0,0.0,0.0,2.0,7.0,0.0,部位错误,物理推演,高,
A07,回旋踢,腿法,D05,钳制格挡,block,0,0.0,0.0,8.0,9.0,0.0,无法应用,物理推演,中,
A07,回旋踢,腿法,D06,左右侧闪,evade,0,1.0,2.0,6.0,9.0,20.0,横向覆盖极大(3.1rad)，无法侧闪,物理推演,高,
A07,回旋踢,腿法,D07,下潜闪避,evade,1,5.0,10.0,5.0,8.5,100.0,低头完美躲避高位扫踢！,表2_攻防克制表,高,
